Country,Total growth (%) from 1990 to 2017,Growth per year (%)
Aruba,135.69,3.23
Afghanistan,,
Angola,332.18,5.57
Albania,634.09,7.66
Andorra,106.39,2.72
United Arab Emirates,46.58,1.43
Argentina,236.72,4.6
Armenia,513.7,6.95
American Samoa,,
Antigua and Barbuda,109.35,2.77
Australia,196.88,4.11
Austria,119.31,2.95
Azerbaijan,235.17,4.58
Burundi,40.76,1.27
Belgium,114.99,2.88
Benin,188.71,4.0
Burkina Faso,109.75,2.78
Bangladesh,410.63,6.22
Bulgaria,252.04,4.77
Bahrain,177.99,3.86
"Bahamas, The",157.58,3.57
Bosnia and Herzegovina,,
Belarus,171.16,3.76
Belize,122.45,3.01
Bermuda,,
Bolivia,372.62,5.92
Brazil,220.14,4.4
Barbados,125.53,3.06
Brunei Darussalam,109.97,2.79
Bhutan,481.92,6.74
Botswana,167.95,3.72
Central African Republic,-12.16,-0.48
Canada,110.5,2.8
Switzerland,109.35,2.77
Channel Islands,,
Chile,501.29,6.87
China,2693.29,13.13
Cote d'Ivoire,133.18,3.19
Cameroon,50.54,1.53
"Congo, Dem. Rep.",72.91,2.05
"Congo, Rep.",48.87,1.48
Colombia,341.27,5.65
Comoros,26.83,0.88
Cabo Verde,262.59,4.89
Costa Rica,545.25,7.15
Cuba,215.97,4.35
Curacao,,
Cayman Islands,,
Cyprus,173.18,3.79
Czech Republic,420.27,6.3
Germany,98.84,2.58
Djibouti,280.4,5.07
Dominica,154.32,3.52
Denmark,112.49,2.83
Dominican Republic,667.37,7.84
Algeria,67.9,1.94
Ecuador,317.15,5.43
"Egypt, Arab Rep.",218.75,4.39
Eritrea,,
Spain,104.06,2.68
Estonia,,
Ethiopia,202.28,4.18
Finland,63.29,1.83
Fiji,232.46,4.55
France,78.09,2.16
Faroe Islands,,
"Micronesia, Fed. Sts.",115.22,2.88
Gabon,15.34,0.53
United Kingdom,111.37,2.81
Georgia,169.84,3.74
Ghana,408.21,6.21
Gibraltar,,
Guinea,104.05,2.68
"Gambia, The",103.92,2.67
Guinea-Bissau,194.51,4.08
Equatorial Guinea,3514.6,14.21
Greece,97.19,2.55
Grenada,251.69,4.77
Greenland,174.58,3.81
Guatemala,426.61,6.35
Guam,,
Guyana,759.56,8.29
"Hong Kong SAR, China",242.34,4.66
Honduras,146.98,3.41
Croatia,,
Haiti,74.05,2.07
Hungary,,
Indonesia,555.92,7.21
Isle of Man,,
India,439.14,6.44
Ireland,397.02,6.12
"Iran, Islamic Rep.",149.3,3.44
Iraq,-49.59,-2.51
Iceland,180.5,3.89
Israel,220.15,4.4
Italy,55.61,1.65
Jamaica,167.12,3.71
Jordan,256.83,4.82
Japan,51.37,1.55
Kazakhstan,461.32,6.6
Kenya,335.15,5.6
Kyrgyz Republic,104.01,2.68
Cambodia,,
Kiribati,198.35,4.13
St. Kitts and Nevis,254.96,4.8
"Korea, Rep.",378.32,5.97
Kuwait,238.38,4.62
Lao PDR,1092.51,9.61
Lebanon,670.38,7.86
Liberia,,
Libya,-11.63,-0.46
St. Lucia,163.06,3.65
Liechtenstein,251.1,4.76
Sri Lanka,779.4,8.39
Lesotho,228.54,4.5
Lithuania,,
Luxembourg,210.66,4.29
Latvia,,
"Macao SAR, China",770.13,8.34
St. Martin (French part),,
Morocco,151.77,3.48
Monaco,98.74,2.58
Moldova,,
Madagascar,52.03,1.56
Maldives,889.85,8.86
Mexico,198.12,4.13
Marshall Islands,120.87,2.98
North Macedonia,130.68,3.14
Mali,161.68,3.63
Malta,278.75,5.06
Myanmar,,
Montenegro,,
Mongolia,212.97,4.32
Northern Mariana Islands,,
Mozambique,,
Mauritania,113.05,2.84
Mauritius,318.36,5.44
Malawi,78.37,2.17
Malaysia,319.96,5.46
Namibia,172.78,3.79
New Caledonia,,
Niger,17.32,0.59
Nigeria,246.87,4.71
Nicaragua,792.67,8.45
Netherlands,128.62,3.11
Norway,167.31,3.71
Nepal,375.01,5.94
Nauru,,
New Zealand,213.62,4.32
Oman,134.66,3.21
Pakistan,294.16,5.21
Panama,481.84,6.74
Peru,460.8,6.59
Philippines,336.26,5.61
Palau,,
Papua New Guinea,286.39,5.13
Poland,700.67,8.01
Puerto Rico,259.53,4.85
"Korea, Dem. Peopleâ€™s Rep.",,
Portugal,172.56,3.78
Paraguay,312.78,5.39
West Bank and Gaza,,
French Polynesia,,
Qatar,296.43,5.23
Romania,543.05,7.14
Russian Federation,206.93,4.24
Rwanda,120.74,2.98
Saudi Arabia,187.11,3.98
Sudan,129.75,3.13
Senegal,41.61,1.3
Singapore,413.53,6.25
Solomon Islands,112.27,2.83
Sierra Leone,232.06,4.55
El Salvador,327.76,5.53
San Marino,,
Somalia,,
Serbia,,
South Sudan,,
Sao Tome and Principe,,
Suriname,486.97,6.77
Slovak Republic,629.75,7.64
Slovenia,158.04,3.57
Sweden,75.83,2.11
Eswatini,191.66,4.04
Sint Maarten (Dutch part),,
Seychelles,199.95,4.15
Syrian Arab Republic,,
Turks and Caicos Islands,,
Chad,128.41,3.11
Togo,45.11,1.39
Thailand,336.92,5.61
Tajikistan,61.98,1.8
Turkmenistan,660.82,7.81
Timor-Leste,,
Tonga,253.06,4.78
Trinidad and Tobago,291.25,5.18
Tunisia,133.46,3.19
Turkey,276.25,5.03
Tuvalu,260.83,4.87
Tanzania,478.19,6.71
Uganda,201.25,4.17
Ukraine,68.22,1.95
Uruguay,479.27,6.72
United States,150.99,3.47
Uzbekistan,180.4,3.89
St. Vincent and the Grenadines,222.54,4.43
"Venezuela, RB",,
British Virgin Islands,,
Virgin Islands (U.S.),,
Vietnam,2385.2,12.64
Vanuatu,185.23,3.96
Samoa,451.26,6.53
Kosovo,,
"Yemen, Rep.",82.98,2.26
South Africa,95.3,2.51
Zambia,275.48,5.02
Zimbabwe,83.87,2.28
